id,created_time,creator_id,modified_time,modifier_id,is_deleted,user_name,ipaddr,login_location,browser,os,status,msg,login_time
1,2024-07-17 12:40:11.265834,0,2024-07-17 12:40:11.265834,0,0,admin,127.0.0.1,,Chrome 126.0.0,Windows 10,0,登录成功,2024-07-17 12:40:11.265834
2,2024-07-21 06:28:29.841578,0,2024-07-21 06:28:29.841578,0,0,admin,127.0.0.1,,Chrome 126.0.0,Windows 10,0,登录成功,2024-07-21 06:28:29.841578
3,2024-07-21 07:04:08.517884,0,2024-07-21 07:04:08.517884,0,0,opt,127.0.0.1,,Chrome 126.0.0,Windows 10,0,登录成功,2024-07-21 07:04:08.517884
4,2024-07-21 07:07:52.748589,0,2024-07-21 07:07:52.748589,0,0,hjdhnx,127.0.0.1,,Chrome 126.0.0,Windows 10,0,登录成功,2024-07-21 07:07:52.748589
5,2024-07-21 07:14:19.326917,0,2024-07-21 07:14:19.326917,0,0,admin,127.0.0.1,,Chrome 126.0.0,Windows 10,0,登录成功,2024-07-21 07:14:19.326917
6,2024-07-21 07:14:34.298440,0,2024-07-21 07:14:34.298440,0,0,hjdhnx,127.0.0.1,,Chrome 126.0.0,Windows 10,0,登录成功,2024-07-21 07:14:34.298440
7,2024-07-21 07:30:42.073277,0,2024-07-21 07:30:42.073277,0,0,opt,127.0.0.1,,Chrome 126.0.0,Windows 10,0,登录成功,2024-07-21 07:30:42.073277
8,2024-07-21 07:32:46.502615,0,2024-07-21 07:32:46.502615,0,0,opt,127.0.0.1,,Chrome 126.0.0,Windows 10,0,登录成功,2024-07-21 07:32:46.502615
9,2024-07-21 07:33:46.776439,0,2024-07-21 07:33:46.776439,0,0,admin,127.0.0.1,,Chrome 126.0.0,Windows 10,0,登录成功,2024-07-21 07:33:46.776439
10,2024-07-21 07:36:04.015579,0,2024-07-21 07:36:04.015579,0,0,opt,127.0.0.1,,Chrome 126.0.0,Windows 10,0,登录成功,2024-07-21 07:36:04.015579
11,2024-07-21 07:36:54.961758,0,2024-07-21 07:36:54.961758,0,0,admin,127.0.0.1,,Chrome 126.0.0,Windows 10,0,登录成功,2024-07-21 07:36:54.961758
12,2024-07-21 07:43:00.365038,0,2024-07-21 07:43:00.365038,0,0,opt,127.0.0.1,,Chrome 126.0.0,Windows 10,0,登录成功,2024-07-21 07:43:00.365038
13,2024-07-21 07:43:41.730074,0,2024-07-21 07:43:41.730074,0,0,admin,127.0.0.1,,Chrome 126.0.0,Windows 10,0,登录成功,2024-07-21 07:43:41.730074
14,2024-07-21 07:43:58.942074,0,2024-07-21 07:43:58.942074,0,0,hjdhnx,127.0.0.1,,Chrome 126.0.0,Windows 10,0,登录成功,2024-07-21 07:43:58.942074
15,2024-07-21 07:45:11.036047,0,2024-07-21 07:45:11.036047,0,0,opt,127.0.0.1,,Chrome 126.0.0,Windows 10,0,登录成功,2024-07-21 07:45:11.036047
