id,created_time,creator_id,modified_time,modifier_id,is_deleted,name,group,path,is_exist,order_num,file_type,ext,status,searchable,filterable,quickSearch,active
11,2024-02-01 14:31:22.082471,1,2024-07-21 07:00:46.437177,1,0,喵次元,t4/spiders,t4/spiders/喵次元.py,True,11,.py,,1,1,1,0,True
12,2024-02-01 14:31:22.085792,1,2024-07-21 07:00:46.445319,1,0,新浪资源,t4/spiders,t4/spiders/新浪资源.py,True,12,.py,,1,1,1,0,True
13,2024-02-01 14:31:22.089587,1,2024-07-21 07:00:46.449095,1,0,樱花动漫,t4/spiders,t4/spiders/樱花动漫.json,True,9999,.json,,1,0,0,0,True
320,2024-05-25 15:45:01.740150,1,2024-07-21 07:00:46.581214,1,0,iFun,t4/files/drpy_js,t4/files/drpy_js/iFun.js,True,314,.js,,1,1,1,0,True
285,2024-05-16 08:22:11.907660,1,2024-07-21 07:00:46.974882,1,0,孜然影视,t4/files/drpy_js,t4/files/drpy_js/孜然影视.js,True,279,.js,,1,1,0,0,True
287,2024-05-16 08:22:12.153112,1,2024-07-21 07:00:47.050026,1,0,快看影视,t4/files/drpy_js,t4/files/drpy_js/快看影视.js,True,281,.js,,1,1,0,0,True
267,2024-05-15 06:21:15.245255,1,2024-07-21 07:00:47.053733,1,0,思古影视[V2],t4/files/drpy_js,t4/files/drpy_js/思古影视[V2].js,True,261,.js,,1,1,1,0,True
344,2024-05-30 18:55:04.441384,1,2024-07-21 07:00:47.140238,1,0,易搜[搜],t4/files/drpy_js,t4/files/drpy_js/易搜[搜].js,True,338,.js,,1,1,0,0,True
283,2024-05-16 08:22:11.800032,1,2024-07-21 07:00:47.153693,1,0,星云影视,t4/files/drpy_js,t4/files/drpy_js/星云影视.js,True,277,.js,,1,1,0,0,True
332,2024-05-28 03:41:22.842135,1,2024-07-21 07:00:47.316534,1,0,爱看hd,t4/files/drpy_js,t4/files/drpy_js/爱看hd.js,True,326,.js,,1,1,0,0,True
354,2024-06-05 15:25:08.439074,1,2024-07-21 07:00:47.378952,1,0,番茄小说[书],t4/files/drpy_js,t4/files/drpy_js/番茄小说[书].js,True,348,.js,,1,1,1,0,True
319,2024-05-25 15:45:01.602023,1,2024-07-21 07:00:47.414653,1,0,看客影院,t4/files/drpy_js,t4/files/drpy_js/看客影院.js,True,313,.js,,1,1,0,0,True
279,2024-05-16 08:22:11.695928,1,2024-07-21 07:00:47.426519,1,0,看看影视,t4/files/drpy_js,t4/files/drpy_js/看看影视.js,True,273,.js,,1,1,0,0,True
