🌏｜央视频道,#genre#
CCTV1综合,https://live.huaren.live/stream/CCTV1.m3u8
CCTV2经济,https://live.huaren.live/stream/CCTV2.m3u8
CCTV3综艺,https://live.huaren.live/stream/CCTV3.m3u8
CCTV4中文国际,https://live.huaren.live/stream/CCTV4.m3u8
CCTV5体育,https://live.huaren.live/stream/CCTV5.m3u8
CCTV5+体育赛事,https://live.huaren.live/stream/CCTV5P.m3u8
CCTV6电影,https://live.huaren.live/stream/CCTV6.m3u8
CCTV7军事,https://live.huaren.live/stream/CCTV7.m3u8
CCTV8电视剧,https://live.huaren.live/stream/CCTV8.m3u8
CCTV9纪录片,https://live.huaren.live/stream/CCTV9.m3u8
CCTV10科教,https://live.huaren.live/stream/CCTV10.m3u8
CCTV11戏曲,https://live.huaren.live/stream/CCTV11.m3u8
CCTV12社会与法,https://live.huaren.live/stream/CCTV12.m3u8
CCTV-13新闻,https://live.huaren.live/stream/CCTV13.m3u8
CCTV14少儿,https://live.huaren.live/stream/CCTV14.m3u8
CCTV15音乐频道,https://live.huaren.live/stream/CCTV15.m3u8
CCTV16奥运频道,https://live.huaren.live/stream/CCTV16.m3u8
🛰｜卫视频道,#genre#
湖南卫视,https://live.huaren.live/stream/hnws.m3u8
浙江卫视,https://ali-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8
深圳卫视,https://live.huaren.live/stream/szws.m3u8
山东卫视,https://live.huaren.live/stream/sdws.m3u8
安徽卫视,https://live.huaren.live/stream/anhuiweishi.m3u8
江苏卫视,https://live.huaren.live/stream/jsws.m3u8
辽宁卫视,https://live.huaren.live/stream/liaoningweishi.m3u8
四川卫视,https://live.huaren.live/stream/sichuanweishi.m3u8
天津卫视,https://live.huaren.live/stream/tjws.m3u8
重庆卫视,https://live.huaren.live/stream/cqws.m3u8
东方卫视,https://live.huaren.live/stream/dfws.m3u8
北京卫视,https://live.huaren.live/stream/bjws.m3u8
广东卫视,https://live.huaren.live/stream/gdws.m3u8
👑｜港台频道,#genre#
VIUTV6,https://live.huaren.live/stream/aktv2_viutv696.m3u8
ViuTV,https://live.huaren.live/stream/aktv2_viutv99.m3u8
Hoy77,https://live.huaren.live/stream/hoyzixun.m3u8
HOY78资讯台,https://live.huaren.live/stream/aktv_hoy78.m3u8
凤凰卫视,https://live.huaren.live/stream/aktv_null-3.m3u8
凤凰资讯,https://live.huaren.live/stream/aktv_null-4.m3u8
NOW爆谷台,https://live.huaren.live/stream/aktv2_null.m3u8
龍華日韓台,https://live.huaren.live/stream/aktv_null-22.m3u8
黄金翡翠,https://live.huaren.live/stream/aktv_null-21.m3u8
Now星影台,https://live.huaren.live/stream/aktv2_now.m3u8
靖天電影台,https://live.huaren.live/stream/aktv_null-6.m3u8
美亞電影台,https://live.huaren.live/stream/aktv_hk-1.m3u8
明珠台,https://live.huaren.live/stream/aktv_null-2.m3u8
TVB星河台,https://live.huaren.live/stream/aktv2_tvb.m3u8
千禧經典台,https://live.huaren.live/stream/aktv_null-15.m3u8
PopC,https://live.huaren.live/stream/aktv_popc.m3u8
